date,open,high,low,close,volume
2018-12-14,81.93,82.48,79.31,79.34,7090513.0
2018-12-17,78.8,80.49,77.0,80.16,6864481.0
2018-12-18,79.0,80.59,78.68,79.55,4885589.0
2018-12-19,79.16,81.7,78.34,79.5,7092653.0
2018-12-20,79.38,79.39,76.23,77.34,9773738.0
2018-12-21,77.54,78.5,75.6,78.5,8873743.0
2018-12-24,77.68,79.24,77.01,78.03,5938803.0
2018-12-25,77.04,77.74,75.65,77.2,6588306.0
2018-12-26,77.2,77.9,75.53,75.9,4925282.0
2018-12-27,77.2,77.48,75.78,75.78,4881471.0
2018-12-28,75.69,76.62,73.8,73.8,5629239.0
2019-01-02,74.25,74.97,73.53,73.66,4394096.0
2019-01-03,72.51,74.54,72.51,73.83,4494903.0
2019-01-04,73.33,77.24,73.23,76.96,7905331.0
2019-01-07,76.94,77.65,76.3,77.42,5969559.0
2019-01-08,77.22,79.45,77.2,79.33,8574990.0
2019-01-09,77.0,78.21,75.18,77.98,12379879.0
2019-01-10,77.64,77.85,76.02,76.28,8394273.0
2019-01-11,76.6,76.75,74.8,75.29,6136703.0
2019-01-14,75.3,76.33,74.3,76.08,4848795.0
2019-01-15,76.0,77.48,74.85,77.37,5873635.0
2019-01-16,76.9,77.2,76.41,76.67,2573862.0
2019-01-17,76.95,77.69,76.41,76.66,3718809.0
2019-01-18,77.16,77.16,74.0,75.4,6503927.0
2019-01-21,75.03,75.63,74.26,75.24,5241159.0
2019-01-22,75.0,75.67,74.03,74.27,4258858.0
2019-01-23,74.26,75.66,74.01,75.44,4884798.0
2019-01-24,75.0,75.86,74.7,75.17,3798418.0
2019-01-25,75.64,78.79,75.17,77.44,9118956.0
2019-01-28,78.1,78.26,76.02,76.07,4628893.0
2019-01-29,76.26,77.39,74.1,76.68,5236313.0
2019-01-30,74.33,77.36,73.61,76.2,7707782.0
2019-01-31,76.27,77.77,76.05,76.12,4412755.0
2019-02-01,76.67,79.17,76.2,78.4,6214411.0
2019-02-11,78.99,81.38,78.98,81.0,8343327.0
2019-02-12,80.5,81.6,80.03,81.0,4989121.0
2019-02-13,80.8,83.57,80.37,81.7,7877177.0
2019-02-14,81.5,88.88,81.35,84.72,12723314.0
2019-02-15,84.4,86.0,82.4,82.42,10515313.0
2019-02-18,83.15,84.88,82.56,84.46,8778720.0
2019-02-19,84.66,84.78,81.8,82.29,9425786.0
2019-02-20,82.8,84.5,82.1,83.17,6067442.0
2019-02-21,82.7,84.87,82.3,83.33,8228772.0
2019-02-22,83.0,85.3,82.11,84.37,8960036.0
2019-02-25,85.77,91.66,85.77,91.32,15411302.0
2019-02-26,90.0,90.8,87.68,88.5,11324211.0
2019-02-27,87.7,89.39,85.3,86.05,9103790.0
2019-02-28,86.01,89.18,86.01,87.7,7239918.0
2019-03-01,91.1,92.88,89.4,90.03,9619284.0
2019-03-04,91.5,95.16,90.73,92.39,14036947.0
2019-03-05,92.38,92.98,91.2,92.6,8615692.0
2019-03-06,93.12,93.8,89.38,91.2,10432922.0
2019-03-07,90.85,90.85,86.68,87.89,13707148.0
2019-03-08,86.0,88.3,84.72,84.97,11069663.0
2019-03-11,84.73,88.18,84.55,87.92,9354658.0
2019-03-12,91.6,93.85,89.21,91.07,14763435.0
2019-03-13,90.99,90.99,87.71,88.08,7577721.0
2019-03-14,87.98,90.48,87.32,88.95,7982575.0
2019-03-15,90.01,91.4,88.97,89.83,7821543.0
2019-03-18,89.89,90.0,87.9,89.28,7275762.0
2019-03-19,89.15,91.88,88.0,88.6,6817028.0
